Kuerzel;Sektor;Industry;Scan;Set-Up;Tag des Ausbruchs;Entry;$ Tag 1;$ Tag 1 Low;$ Tag 2;$ Tag 2 Low;$ Tag 2 High;$ Tag 3;$ Tag 3 Low;$ Tag 3 High;$ Tag 4;$ Tag 4 Low;$ Tag 4 High;$ Tag 5;$ Tag 5 Low;$ Tag 5 High;VIX CBOE 1-day;Move 1 day;Move 2 day;Move 3 day;Move 4 day;Move 5 day
TEN;Energy;Oil & Gas Midstream;Bidback;Continuation;04.02.25;18,92 €;19,05 €;18,73 €;18,58 €;18,43 €;19,16 €;18,32 €;18,20 €;18,88 €;18,26 €;17,90 €;18,42 €;18,15 €;18,06 €;18,49 €;14,99;0,69%;-1,80%;-3,17%;-3,49%;-4,07%
DCTH;Healthcare;Medical Devices;Bidback;Continuation;04.02.25;15,86 €;16,30 €;15,80 €;16,45 €;16,01 €;16,58 €;16,25 €;16,00 €;16,97 €;16,04 €;16,00 €;16,78 €;15,97 €;15,50 €;16,09 €;14,99;2,77%;3,72%;2,46%;1,13%;0,69%
BBBY;Consumer Cyclicals;Specialty Retail;Bidback;Continuation;04.02.25;8,89 €;9,22 €;8,71 €;8,94 €;8,78 €;10,08 €;8,77 €;8,57 €;9,40 €;8,68 €;8,44 €;9,13 €;9,26 €;8,50 €;9,90 €;14,99;3,71%;0,56%;-1,35%;-2,36%;4,16%
ERJ;Industrials;Aerospace & Defence;Bidback;Gap up Breakout;05.02.25;44,13 €;44,65 €;44,13 €;43,01 €;42,83 €;45,09 €;42,07 €;42,04 €;43,07 €;41,79 €;41,39 €;42,15 €;41,43 €;41,02 €;41,56 €;11,08;1,18%;-2,54%;-4,67%;-5,30%;-6,12%
ADPT;Healthcare;Biotech;Bidback;Consolidation;05.02.25;7,85 €;8,01 €;7,74 €;7,84 €;7,66 €;8,19 €;7,68 €;7,37 €;7,89 €;;;;;;;11,08;2,04%;-0,13%;-2,17%;-100,00%;-100,00%
PX;Financial;Asset Management;Bidback;Consolidation;05.02.25;13,66 €;13,58 €;13,53 €;13,43 €;13,41 €;13,68 €;13,61 €;13,36 €;13,76 €;13,44 €;13,19 €;13,50 €;;;;11,08;-0,59%;-1,68%;-0,37%;-1,61%;-100,00%
NMR;Financial;Capital Markets;Bidback;Continuation;05.02.25;6,94 €;6,91 €;6,84 €;6,77 €;6,76 €;6,89 €;6,84 €;6,84 €;6,89 €;6,86 €;6,81 €;6,87 €;6,54 €;6,42 €;6,59 €;14,99;-0,43%;-2,45%;-1,44%;-1,15%;-5,76%
AMSC;Industrials;Diversified Industrials;Bidback;Earning;06.02.25;32,56 €;32,85 €;31,32 €;32,59 €;32,11 €;34,49 €;31,72 €;31,26 €;33,26 €;30,35 €;30,22 €;31,25 €;31,69 €;30,22 €;31,94 €;15,75;0,89%;0,09%;-2,58%;-6,79%;-2,67%
VVV;Energy;Oil & Gas Refining;Bidback;Earning;06.02.25;38,81 €;38,70 €;38,60 €;40,19 €;38,81 €;40,20 €;40,10 €;39,44 €;40,12 €;39,63 €;39,37 €;40,09 €;40,10 €;39,53 €;40,34 €;15,75;-0,28%;3,56%;3,32%;2,11%;3,32%
OLN;Basic;Specialty Chemicals;Bidback;Bottom Bounce;06.02.25;28,10 €;28,22 €;27,66 €;28,15 €;27,94 €;28,72 €;28,60 €;27,76 €;28,77 €;27,98 €;27,81 €;18,45 €;27,87 €;27,39 €;28,26 €;15,75;0,43%;0,18%;1,78%;-0,43%;-0,82%
